id,lat,lon,fecha,confianza,evento
0,-14.9981,-68.2446,2019-04-08,68,
1,-14.9995,-68.2556,2019-04-08,82,
2,-14.9978,-68.2508,2019-04-08,83,
3,-14.9994,-68.2624,2019-04-08,49,
4,-14.6448,-68.4988,2019-04-20,77,
5,-14.637,-68.3706,2019-06-08,40,
6,-14.6822,-68.4977,2019-06-09,69,
7,-14.9989,-68.1835,2019-06-11,96,
8,-14.9476,-68.3704,2019-06-22,51,
9,-14.7571,-68.4709,2019-06-23,88,
10,-14.7588,-68.4822,2019-06-23,67,
11,-14.7472,-68.4727,2019-06-23,64,
12,-14.9579,-68.2751,2019-06-29,39,
13,-14.8161,-68.3772,2019-06-30,79,
14,-14.8185,-68.3917,2019-06-30,81,
15,-15.0225,-68.3009,2019-07-08,55,
16,-14.5378,-68.4674,2019-07-10,52,
17,-14.5446,-68.4037,2019-07-11,74,
18,-14.7455,-68.4923,2019-07-20,83,
19,-14.8269,-68.3859,2019-07-29,74,
20,-14.9618,-68.285,2019-08-01,32,
21,-14.6523,-68.4912,2019-08-01,68,
22,-14.6442,-68.6006,2019-08-01,41,
23,-14.6465,-68.6145,2019-08-01,74,
24,-14.6317,-68.3099,2019-08-06,41,
25,-14.718,-68.4721,2019-08-07,61,
26,-14.7195,-68.46,2019-08-07,79,
27,-15.0608,-68.1489,2019-08-07,38,
28,-14.8453,-68.2475,2019-08-07,62,
29,-14.7587,-68.2906,2019-08-07,60,
30,-14.7589,-68.2958,2019-08-07,36,
31,-14.6233,-68.3073,2019-08-07,50,
32,-14.5529,-68.5627,2019-08-07,26,
33,-14.5417,-68.5651,2019-08-07,58,
34,-14.5434,-68.5788,2019-08-07,49,
35,-14.6703,-68.5387,2019-08-09,59,
36,-14.9575,-68.3324,2019-08-09,47,
37,-14.6679,-68.7301,2019-08-10,83,
38,-14.5973,-68.4679,2019-08-10,52,
39,-14.5991,-68.4798,2019-08-10,71,
40,-14.6106,-68.4563,2019-08-12,60,
41,-14.5357,-68.3502,2019-08-16,65,
42,-14.5318,-68.3379,2019-08-16,58,
43,-14.5341,-68.3572,2019-08-16,30,
44,-14.568,-68.8889,2019-08-17,75,
45,-15.2073,-68.1609,2019-08-17,67,
46,-15.0961,-68.3293,2019-08-17,81,
47,-14.5471,-68.3508,2019-08-17,79,
48,-14.5361,-68.3529,2019-08-17,62,
49,-14.7219,-68.307,2019-08-18,88,
50,-15.1362,-68.2136,2019-08-21,96,
51,-14.6602,-68.5538,2019-08-22,38,
52,-15.0351,-68.1605,2019-08-23,25,
53,-14.7813,-68.5098,2019-08-26,47,
54,-15.088,-68.2264,2019-08-28,57,
55,-14.9361,-68.4509,2019-08-28,79,
