id,fila,columna,lat,lon,pendiente_grados,ndvi,humedad,viento_u,viento_v,prob_ignicion
094610d6-095d-4bef-a8f9-8f8430ec8417,11,35,-14.000367,-68.957722,15.1797,0.3042,0.3885,0.2958,-0.2509,0.2278
f3dfe673-a0cd-4ac8-8cc6-282efa0efa3b,11,36,-14.000367,-68.953222,31.5764,0.3241,0.3885,0.2958,-0.2509,0.2313
1fe393aa-ba3c-4dcc-b83d-aeb96f5d778f,11,37,-14.000367,-68.948722,30.509,0.3219,0.3838,0.3246,-0.2576,0.8155
0538ed43-7792-466a-9755-b74bd133f053,11,38,-14.000367,-68.944222,21.0457,0.343,0.3838,0.3246,-0.2576,0.8059
5ec7afc3-0f65-400c-a657-b3161f4805ef,11,39,-14.000367,-68.939722,29.1951,0.3646,0.3838,0.3246,-0.2576,0.2079
32f0bdb3-e3b4-4211-9afe-219945d219e2,11,40,-14.000367,-68.935222,18.4564,0.3757,0.3838,0.3246,-0.2576,0.1858
f79d126c-a5a0-425f-948f-dfd92e003344,11,41,-14.000367,-68.930722,25.2394,0.3535,0.3838,0.3246,-0.2576,0.0233
2f2b98be-b972-42c2-aeb6-981aa86de480,11,42,-14.000367,-68.926222,20.0788,0.3491,0.3838,0.3246,-0.2576,0.1056
a6462e10-f1f0-4e89-886e-ad76bb1e000b,11,43,-14.000367,-68.921722,20.4393,0.342,0.3838,0.3246,-0.2576,0.0994
1aef6c14-4da9-49b1-b6ef-cad6ece7af37,11,44,-14.000367,-68.917222,17.2944,0.3543,0.3838,0.3246,-0.2576,0.0383
ad068446-319b-4b39-898b-8840a576c425,11,45,-14.000367,-68.912722,22.7656,0.3324,0.3838,0.3246,-0.2576,0.107
2c8d631d-82fb-43b9-b689-0e77b721ad23,11,46,-14.000367,-68.908222,27.2263,0.3263,0.3838,0.3246,-0.2576,0.0249
6173a7a4-5897-43e2-9f23-8f7ea3a77190,11,47,-14.000367,-68.903722,14.1555,0.3327,0.3838,0.3246,-0.2576,0.6317
0578ea3f-e6b7-489d-a709-c92e01fa703a,11,48,-14.000367,-68.899222,26.2046,0.3554,0.3838,0.3246,-0.2576,0.009
1fbfa138-3908-44e9-9c2e-ec70dddbb69e,11,49,-14.000367,-68.894722,21.6116,0.371,0.3838,0.3246,-0.2576,0.0083
90251234-7230-44ee-bcdd-395ca9529fe4,11,50,-14.000367,-68.890222,16.7236,0.3338,0.3838,0.3246,-0.2576,0.0067
a8b8a320-02ab-458a-a6dc-58ea1d88aa4c,11,51,-14.000367,-68.885722,25.9554,0.3437,0.3838,0.3246,-0.2576,0.0031
a3dcb69a-6d2b-4051-8dbe-553f791b20cc,11,52,-14.000367,-68.881222,15.6095,0.3177,0.3838,0.3246,-0.2576,0.0184
090d2bfe-b79a-4674-a5af-9500134b3fa1,11,53,-14.000367,-68.876722,28.8552,0.3075,0.3838,0.3246,-0.2576,0.0208
ae479cbb-72dd-4d88-8b6f-10b7d4dd8565,11,54,-14.000367,-68.872222,35.4509,0.3355,0.3838,0.3246,-0.2576,0.1027
7d940e30-6a04-487b-8000-2989617b129a,11,55,-14.000367,-68.867722,20.4393,0.3643,0.3838,0.3246,-0.2576,0.0157
4b59e0b8-0072-4eb1-be22-643430749481,11,56,-14.000367,-68.863222,24.1688,0.3057,0.3838,0.3246,-0.2576,0.0075
72f078a9-b8dc-4dcd-b492-b357780afb5f,11,57,-14.000367,-68.858722,22.8621,0.323,0.3838,0.3246,-0.2576,0.0049
7db0e8a6-661f-470e-bfc9-255113b99d8f,11,58,-14.000367,-68.854222,19.827,0.3386,0.3838,0.3246,-0.2576,0.0105
663c7c5f-a408-4549-9c0f-f191083bf83e,11,59,-14.000367,-68.849722,15.0424,0.3578,0.3746,0.367,-0.275,0.0034
da0fb9a5-d92e-4ce0-82ae-ab2f9204296a,11,60,-14.000367,-68.845222,26.3601,0.346,0.3746,0.367,-0.275,0.0016
